Beam Width,Stability, elapsed_time
1,0,3.7372679710388184
6,-8,18.583026885986328
11,-11,22.92113447189331
16,-15,32.624831676483154
21,-17,44.679119348526
26,-17,48.345513343811035
31,-17,60.376368045806885
36,-17,69.03827381134033
41,-17,77.02718114852905
46,-17,86.65992665290833
51,-17,96.1221055984497
56,-17,106.86274099349976
61,-17,113.46047329902649
66,-17,124.58867621421814
71,-17,132.3894009590149
76,-17,141.70849990844727
81,-17,150.51165914535522
86,-17,159.17498874664307
91,-17,168.5224573612213
96,-17,176.8692078590393
101,-17,186.97939038276672
106,-17,193.95670890808105
111,-17,206.05621218681335
116,-17,212.46290469169617
121,-17,222.75812983512878
126,-17,231.80697655677795
131,-17,241.6951084136963
136,-17,251.4069685935974
141,-17,261.2407560348511
146,-17,267.1310360431671
151,-17,276.05935049057007
156,-17,283.0593650341034
161,-17,292.34467244148254
166,-17,299.92572355270386
171,-17,308.19886350631714
176,-17,317.25302720069885
181,-17,327.45114159584045
186,-17,335.05012226104736
191,-17,346.91075325012207
196,-17,338.1538345813751
