Iteration,Stability
1,-33
2,-33
3,-31
4,-35
5,-37
6,-40
7,-41
8,-31
9,-37
10,-40
11,-35
12,-33
13,-44
14,-41
15,-38
16,-32
17,-32
18,-35
19,-30
20,-39
21,-42
22,-35
23,-36
24,-39
25,-37
26,-38
27,-28
28,-37
29,-37
30,-32
31,-42
32,-43
33,-31
34,-40
35,-35
36,-38
37,-36
38,-37
39,-29
40,-49
41,-41
42,-40
43,-39
44,-40
45,-39
46,-39
47,-32
48,-44
49,-39
50,-41
51,-36
52,-39
53,-34
54,-35
55,-37
56,-35
57,-38
58,-41
59,-33
60,-36
61,-38
62,-39
63,-32
64,-37
65,-47
66,-33
67,-42
68,-38
69,-43
70,-38
71,-33
72,-42
73,-34
74,-33
75,-42
76,-34
77,-43
78,-50
79,-34
80,-41
81,-37
82,-32
83,-46
84,-41
85,-37
86,-51
87,-42
88,-35
89,-34
90,-37
91,-36
92,-40
93,-29
94,-36
95,-38
96,-42
97,-36
98,-39
99,-47
100,-38
101,-43
102,-41
103,-34
104,-35
105,-40
106,-40
107,-30
108,-47
109,-36
110,-41
111,-39
112,-41
113,-33
114,-43
115,-43
116,-37
117,-39
118,-41
119,-35
120,-31
121,-31
122,-41
123,-39
124,-41
125,-38
126,-38
127,-40
128,-32
129,-37
130,-42
131,-43
132,-42
133,-43
134,-35
135,-40
136,-33
137,-40
138,-38
139,-40
140,-36
