Run,Execution Time (s),Stability,Protein Folding Sequence
1,50.40108060836792,-3,HHPHHHPH
2,68.8333911895752,-3,HHPHHHPH
3,77.32598972320557,-3,HHPHHHPH
4,80.68746972084045,-3,HHPHHHPH
5,76.01094555854797,-3,HHPHHHPH
6,75.45702576637268,-3,HHPHHHPH
7,80.25098872184753,-3,HHPHHHPH
8,73.54314994812012,-3,HHPHHHPH
9,73.24513268470764,-3,HHPHHHPH
10,71.7615602016449,-3,HHPHHHPH
11,72.49521565437317,-3,HHPHHHPH
12,74.28713583946228,-3,HHPHHHPH
13,78.57054090499878,-3,HHPHHHPH
14,71.36050295829773,-3,HHPHHHPH
15,72.51256203651428,-3,HHPHHHPH
16,73.96664643287659,-3,HHPHHHPH
17,74.41732454299927,-3,HHPHHHPH
18,75.01057004928589,-3,HHPHHHPH
19,74.23869967460632,-3,HHPHHHPH
20,77.23998141288757,-3,HHPHHHPH
21,75.87189364433289,-3,HHPHHHPH
22,71.97113561630249,-3,HHPHHHPH
23,71.61430764198303,-3,HHPHHHPH
24,71.87070083618164,-3,HHPHHHPH
25,74.48914313316345,-3,HHPHHHPH
26,74.2280433177948,-3,HHPHHHPH
27,76.00610589981079,-3,HHPHHHPH
28,73.53268551826477,-3,HHPHHHPH
29,72.80096340179443,-3,HHPHHHPH
30,73.00122785568237,-3,HHPHHHPH
31,73.77498579025269,-3,HHPHHHPH
32,76.38954901695251,-3,HHPHHHPH
33,71.72782254219055,-3,HHPHHHPH
34,71.92330861091614,-3,HHPHHHPH
35,71.77873611450195,-3,HHPHHHPH
36,71.62069463729858,-3,HHPHHHPH
37,78.72301483154297,-3,HHPHHHPH
38,78.00895047187805,-3,HHPHHHPH
39,71.66008138656616,-3,HHPHHHPH
40,72.76810884475708,-3,HHPHHHPH
41,72.39625859260559,-3,HHPHHHPH
42,73.0578727722168,-3,HHPHHHPH
43,72.3417615890503,-3,HHPHHHPH
44,71.59763813018799,-3,HHPHHHPH
45,72.6873071193695,-3,HHPHHHPH
46,75.29590225219727,-3,HHPHHHPH
47,79.83815479278564,-3,HHPHHHPH
48,72.54431676864624,-3,HHPHHHPH
49,71.22547435760498,-3,HHPHHHPH
50,71.8846046924591,-3,HHPHHHPH
51,71.63962125778198,-3,HHPHHHPH
52,71.81867718696594,-3,HHPHHHPH
53,74.37354493141174,-3,HHPHHHPH
54,78.33016300201416,-3,HHPHHHPH
55,73.21583986282349,-3,HHPHHHPH
56,71.46693778038025,-3,HHPHHHPH
57,71.34674453735352,-3,HHPHHHPH
58,71.29852151870728,-3,HHPHHHPH
59,71.86518430709839,-3,HHPHHHPH
60,72.80444240570068,-3,HHPHHHPH
61,79.3866229057312,-3,HHPHHHPH
62,76.20420908927917,-3,HHPHHHPH
63,72.72867226600647,-3,HHPHHHPH
64,72.0778079032898,-3,HHPHHHPH
65,72.22760891914368,-3,HHPHHHPH
66,72.93749713897705,-3,HHPHHHPH
67,74.49460482597351,-3,HHPHHHPH
68,77.09053492546082,-3,HHPHHHPH
69,72.52580213546753,-3,HHPHHHPH
70,71.62461614608765,-3,HHPHHHPH
71,71.78822755813599,-3,HHPHHHPH
72,81.8694441318512,-3,HHPHHHPH
73,72.37531638145447,-3,HHPHHHPH
74,73.35483598709106,-3,HHPHHHPH
75,72.77731943130493,-3,HHPHHHPH
76,73.99991464614868,-3,HHPHHHPH
77,73.7319746017456,-3,HHPHHHPH
78,76.5812132358551,-3,HHPHHHPH
79,74.6939868927002,-3,HHPHHHPH
80,72.68629264831543,-3,HHPHHHPH
81,72.37280797958374,-3,HHPHHHPH
82,72.02264928817749,-3,HHPHHHPH
83,77.42899346351624,-3,HHPHHHPH
84,76.28736662864685,-3,HHPHHHPH
85,72.25621223449707,-3,HHPHHHPH
86,72.27533221244812,-3,HHPHHHPH
87,71.59938955307007,-3,HHPHHHPH
88,73.30836367607117,-3,HHPHHHPH
89,78.39594054222107,-3,HHPHHHPH
90,76.2463550567627,-3,HHPHHHPH
91,72.04000282287598,-3,HHPHHHPH
92,71.15350842475891,-3,HHPHHHPH
93,77.70506310462952,-3,HHPHHHPH
94,77.50310397148132,-3,HHPHHHPH
95,71.78514838218689,-3,HHPHHHPH
96,71.71500086784363,-3,HHPHHHPH
97,76.51313352584839,-3,HHPHHHPH
98,77.14089870452881,-3,HHPHHHPH
